Item,Reference,Qty,Part,Description,Manufacturer,MPN,Package,Notes
1,U1,1,ESP32-S3-WROOM-1-N8,Wi-Fi/BLE SoC module,Espressif,ESP32-S3-WROOM-1-N8,Module,Main controller
2,U2,1,ADS131M04IPBS,4-ch 24-bit simultaneous ADC,Texas Instruments,ADS131M04IPBS,TQFP-32,Analog event digitizer
3,U3,1,MLX90640ESF-BAB,32x24 IR thermal array,Melexis,MLX90640ESF-BAB,TO-39,Hotspot imaging
4,U4,1,AD8318ACPZ,RF log detector,Analog Devices,AD8318ACPZ,LFCSP-8,Arc and EMI sensing
5,U5,1,OPA356AIDBVR,High-speed rail-to-rail op-amp,Texas Instruments,OPA356AIDBVR,SOT-23-5,Ultrasonic gain/filter
6,U6,1,MCP73831T-2ATI/OT,Li-ion charger,Microchip,MCP73831T-2ATI/OT,SOT-23-5,USB charging
7,U7,1,TPS63070RNMR,Buck-boost regulator,Texas Instruments,TPS63070RNMR,VQFN-15,Main 3V3 rail
8,U8,1,AP7333-33SAG-7,Low-noise LDO,Diodes Inc,AP7333-33SAG-7,SOT-23,Analog 3V3 rail
9,U9,1,MAX17048G+T10,Fuel gauge,Analog Devices,MAX17048G+T10,TDFN-8,Battery telemetry
10,U10,1,SHT45-AD1B-R2,Humidity/temperature sensor,Sensirion,SHT45-AD1B-R2,DFN-4,Condensation monitoring
11,U11,1,TMP117AIDRVR,Digital temperature sensor,Texas Instruments,TMP117AIDRVR,WSON-6,Contact pad temperature
12,U12,1,TMP117AIDRVR,Digital temperature sensor,Texas Instruments,TMP117AIDRVR,WSON-6,Internal air temperature
13,DS1,1,SH1106 OLED 128x64,Monochrome OLED module,Generic,SH1106-12864,Module,Front panel display
14,X1,1,MA40H1S-R,Air ultrasonic receiver,Murata,MA40H1S-R,Transducer,Partial discharge acoustic pickup
15,J1,1,microSD socket,Push-push microSD connector,Hirose,DM3AT-SF-PEJM5,SMD,Local logging
16,J2,1,3.5 mm TRS jack,Accessory CT input,CUI Devices,SJ1-3523N,TH,Split-core CT accessory
17,J3,1,USB-C receptacle,Power/service connector,HRO,TYPE-C-31-M-12,SMD,5V power and service
18,B1,1,2000 mAh Li-ion pouch,Battery pack,Generic,LP603450,Pouch,Portable power
19,BZ1,1,Piezo buzzer,Alarm annunciator,Mallory,PS1240P02BT,TH/SMD,Alarm output
20,LED1,1,0603 red LED,Alert indicator,Generic,RED-0603,0603,Visible alarm
21,Q1,1,AO3407A,P-channel MOSFET,Alpha & Omega,AO3407A,SOT-23,Reverse-battery protection
22,D1,1,ESD9B5.0ST5G,USB ESD protector,onsemi,ESD9B5.0ST5G,SOD-923,USB protection
23,F1,1,MF-MSMF050-2,Resettable fuse,Bourns,MF-MSMF050-2,1812,USB input protection
24,MISC,1,Passives and mechanics,Resistors capacitors magnets enclosure standoffs,Multiple,Multiple,Mixed,See schematic notes
