timestamp,preset,time_ms,coil_v,current_ma,contact_closed,hall_mm,acoustic
2026-09-04T02:20:00Z,automotive_relay_12v,0,0,0,0,0.00,0.01
2026-09-04T02:20:00Z,automotive_relay_12v,2,4,33,0,0.05,0.03
2026-09-04T02:20:00Z,automotive_relay_12v,4,8,66,0,0.18,0.05
2026-09-04T02:20:00Z,automotive_relay_12v,6,10,82,1,1.28,0.88
2026-09-04T02:20:00Z,automotive_relay_12v,7,10,84,0,1.10,0.52
2026-09-04T02:20:00Z,automotive_relay_12v,8,10,85,1,1.34,0.40
2026-09-04T02:20:00Z,automotive_relay_12v,12,12,92,1,1.46,0.14
2026-09-04T02:20:00Z,automotive_relay_12v,20,6,49,1,1.43,0.05
2026-09-04T02:20:00Z,automotive_relay_12v,24,4,31,0,0.12,0.64
2026-09-04T02:20:00Z,automotive_relay_12v,28,0,0,0,0.00,0.03
2026-09-04T02:21:00Z,plc_relay_24v,0,0,0,0,0.00,0.01
2026-09-04T02:21:00Z,plc_relay_24v,3,8,29,0,0.04,0.02
2026-09-04T02:21:00Z,plc_relay_24v,6,14,51,0,0.16,0.04
2026-09-04T02:21:00Z,plc_relay_24v,9,19,70,0,0.32,0.08
2026-09-04T02:21:00Z,plc_relay_24v,12,22,81,1,1.12,0.71
2026-09-04T02:21:00Z,plc_relay_24v,13,22,83,0,1.00,0.40
2026-09-04T02:21:00Z,plc_relay_24v,14,22,84,1,1.26,0.36
2026-09-04T02:21:00Z,plc_relay_24v,15,22,85,0,1.08,0.24
2026-09-04T02:21:00Z,plc_relay_24v,16,22,84,1,1.33,0.21
2026-09-04T02:21:00Z,plc_relay_24v,24,24,91,1,1.42,0.08
2026-09-04T02:21:00Z,plc_relay_24v,32,8,29,1,1.40,0.03
2026-09-04T02:21:00Z,plc_relay_24v,36,5,18,0,0.20,0.58
2026-09-04T02:21:00Z,plc_relay_24v,40,0,0,0,0.00,0.03
2026-09-04T02:22:00Z,contactor_aux_24v,0,0,0,0,0.00,0.01
2026-09-04T02:22:00Z,contactor_aux_24v,3,8,46,0,0.06,0.03
2026-09-04T02:22:00Z,contactor_aux_24v,6,12,69,0,0.14,0.05
2026-09-04T02:22:00Z,contactor_aux_24v,9,16,92,0,0.28,0.06
2026-09-04T02:22:00Z,contactor_aux_24v,12,20,114,0,0.52,0.09
2026-09-04T02:22:00Z,contactor_aux_24v,15,24,134,1,1.18,0.66
2026-09-04T02:22:00Z,contactor_aux_24v,24,24,136,1,1.24,0.09
2026-09-04T02:22:00Z,contactor_aux_24v,30,10,57,1,1.18,0.03
2026-09-04T02:22:00Z,contactor_aux_24v,36,2,11,0,0.18,0.61
2026-09-04T02:22:00Z,contactor_aux_24v,42,0,0,0,0.00,0.03
