timestamp,leaf_temp_c,ambient_temp_c,ambient_rh_pct,vpd_kpa,g_sw_mol_m2_s,transpiration_g_m2_s,stress_score,condition,fit_r2,light_lux_proxy,battery_v
2026-08-23T10:00:00,28.50,30.20,47.50,2.100,0.280,0.00988,18.0,hydrated,0.9980,14000,4.05
2026-08-23T10:15:00,28.74,30.31,47.41,2.139,0.279,0.01002,18.6,hydrated,0.9980,14319,4.04
2026-08-23T10:30:00,28.97,30.43,47.14,2.177,0.278,0.01015,19.5,hydrated,0.9978,14636,4.03
2026-08-23T10:45:00,29.18,30.53,46.70,2.215,0.276,0.01025,20.8,hydrated,0.9976,14946,4.03
2026-08-23T11:00:00,29.36,30.63,46.11,2.250,0.273,0.01032,22.6,hydrated,0.9973,15246,4.02
2026-08-23T11:15:00,29.51,30.72,45.37,2.285,0.269,0.01032,25.0,hydrated,0.9969,15534,4.01
2026-08-23T11:30:00,29.62,30.80,44.51,2.316,0.264,0.01027,28.1,hydrated,0.9964,15807,4.00
2026-08-23T11:45:00,29.68,30.87,43.56,2.346,0.258,0.01015,31.9,hydrated,0.9958,16061,3.99
2026-08-23T12:00:00,29.70,30.93,42.53,2.372,0.250,0.00997,36.1,watch,0.9952,16296,3.99
2026-08-23T12:15:00,29.67,30.97,41.46,2.395,0.242,0.00972,40.6,watch,0.9946,16507,3.98
2026-08-23T12:30:00,29.59,30.99,40.38,2.414,0.232,0.00941,45.1,watch,0.9939,16693,3.97
2026-08-23T12:45:00,29.47,31.00,39.31,2.429,0.222,0.00904,49.6,watch,0.9932,16852,3.96
2026-08-23T13:00:00,29.31,30.99,38.30,2.440,0.211,0.00864,53.7,watch,0.9924,16983,3.95
2026-08-23T13:15:00,29.12,30.97,37.35,2.447,0.200,0.00822,57.4,stressed,0.9917,17083,3.95
2026-08-23T13:30:00,28.90,30.93,36.51,2.450,0.189,0.00778,60.4,stressed,0.9909,17153,3.94
2026-08-23T13:45:00,28.67,30.87,35.79,2.448,0.179,0.00735,62.8,stressed,0.9902,17192,3.93
2026-08-23T14:00:00,28.43,30.80,35.22,2.443,0.169,0.00693,64.5,stressed,0.9895,17199,3.92
2026-08-23T14:15:00,28.19,30.72,34.81,2.432,0.160,0.00654,65.7,stressed,0.9888,17173,3.91
2026-08-23T14:30:00,27.97,30.63,34.57,2.418,0.152,0.00619,66.5,stressed,0.9882,17116,3.91
2026-08-23T14:45:00,27.77,30.53,34.50,2.400,0.146,0.00589,67.1,stressed,0.9877,17028,3.90
2026-08-23T15:00:00,27.59,30.42,34.62,2.378,0.141,0.00563,67.8,stressed,0.9872,16910,3.89
2026-08-23T15:15:00,27.45,30.31,34.91,2.353,0.137,0.00541,68.7,stressed,0.9868,16762,3.88
2026-08-23T15:30:00,27.36,30.20,35.38,2.325,0.134,0.00523,70.0,stressed,0.9865,16587,3.87
2026-08-23T15:45:00,27.31,30.09,35.99,2.294,0.132,0.00508,71.9,stressed,0.9862,16386,3.87
